University system,Abbreviation,Member,Vietnamese name,School,Location,English name,Organization,Name,Country of origin,Type of operation
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",UET,University of Engineering and Technology,Trường Đại học Công nghệ,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",VNU-UEd,University of Education,Trường Đại học Giáo dục,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",ULIS,University of Languages and International Studies,Trường Đại học Ngoại ngữ,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",HUS,University of Sciences,Trường Đại học Khoa học Tự nhiên,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",HUSSH,University of Social Sciences and Humanities,Trường Đại học Khoa học Xã hội và Nhân văn,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",UEB,University of Economics and Business,Trường Đại học Kinh tế,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",VNU-UMP,University of Medicine and Pharmacy,Trường Đại học Y Dược,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",VNU-UL,University of Law,Trường Đại học Luật,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",VJU,Vietnam–Japan University,Trường Đại học Việt Nhật,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",VNU-IS,International School,Trường Quốc tế,,,,,,,
"Vietnam National University, Hanoi Abbreviation: VNU - HN Vietnamese: Đại học Quốc gia Hà Nội",HSB,School of Business and Management,Trường Quản trị và Kinh doanh,,,,,,,
